年份,期号,号1,号2,号3,号4,号5,号6,特码
2020,285,42,08,15,21,25,34,02
2020,286,22,31,45,41,25,27,44
2020,287,49,19,35,29,20,40,24
2020,288,42,38,06,33,24,01,39
2020,289,01,18,14,13,04,02,16
2020,290,44,35,18,05,46,04,03
2020,291,29,35,22,34,23,11,44
2020,292,41,49,45,24,04,02,46
2020,293,36,41,48,30,38,46,24
2020,294,32,27,47,48,16,03,25
2020,295,31,04,43,27,06,01,25
2020,296,42,01,22,40,09,49,15
2020,297,12,45,46,01,15,44,09
2020,298,12,17,49,46,11,37,23
2020,299,45,04,02,03,46,21,34
2020,300,24,46,47,09,19,34,49
2020,301,28,16,11,47,21,29,44
2020,302,15,41,45,11,42,04,24
2020,303,23,36,08,24,31,03,46
2020,304,01,14,05,12,22,19,23
2020,305,30,37,22,34,48,12,46
2020,306,48,34,24,23,11,12,46
2020,307,20,10,17,49,46,40,01
2020,308,38,29,22,06,40,21,01
2020,309,18,06,34,32,22,11,35
2020,310,44,21,17,27,24,12,32
2020,311,43,31,26,37,14,04,36
2020,312,34,35,40,13,22,48,42
2020,313,20,35,42,19,14,30,39
2020,314,11,09,10,47,37,27,33
2020,315,48,41,30,36,49,21,02
2020,316,49,38,36,43,28,15,05
2020,317,20,49,30,35,41,32,39
2020,318,46,29,41,24,47,01,06
2020,319,49,36,22,32,41,04,37
2020,320,05,23,13,40,14,15,01
2020,321,48,27,23,37,20,35,36
2020,322,17,12,37,01,33,05,30
2020,323,33,32,06,09,30,21,29
2020,324,25,48,49,10,13,12,41
2020,325,22,37,30,46,18,08,20
2020,326,11,03,39,12,24,32,25
2020,327,02,45,32,29,01,20,05
2020,328,31,02,44,32,01,42,34
2020,329,09,21,38,19,22,26,25
2020,330,27,42,22,41,30,08,32
2020,331,38,37,08,35,26,21,49
2020,332,22,27,21,17,32,29,03
2020,333,22,31,15,46,35,17,39
2020,334,46,41,06,49,44,32,09
2020,335,10,38,29,36,40,39,24
2020,336,22,30,25,42,36,18,35
2020,337,31,42,16,09,14,26,07
2020,338,17,43,21,37,39,29,41
2020,339,29,32,35,46,31,41,12
2020,340,08,41,06,18,35,33,03
2020,341,10,39,26,31,41,43,15
2020,342,41,38,18,42,29,34,35
2020,343,26,35,02,03,06,14,45
2020,344,15,16,08,43,27,25,39
2020,345,25,12,19,07,34,39,13
2020,346,39,03,10,46,12,35,48
2020,347,07,35,40,49,04,41,09
2020,348,21,40,37,01,19,31,13
2020,349,16,04,29,30,03,22,24
2020,350,34,02,36,06,08,11,48
2020,351,39,46,30,13,15,41,26
2020,352,06,29,32,31,10,33,30
2020,353,31,41,43,37,07,04,34
2020,354,20,31,09,23,08,12,10
2020,355,31,32,13,18,19,22,30
2021,001,12,03,10,34,11,33,16
2021,002,35,40,06,45,22,48,13
2021,003,22,29,36,07,46,28,35
2021,004,23,20,35,48,33,01,03
2021,005,12,48,13,16,36,38,43
2021,006,07,22,35,13,09,38,28
2021,007,14,12,20,23,41,47,36
2021,008,46,03,11,01,28,30,13
2021,009,05,23,42,43,30,14,08
2021,010,04,25,03,06,37,13,35
2021,011,49,10,24,35,37,38,09
2021,012,09,22,33,06,01,18,47
2021,013,23,44,42,02,15,14,18
2021,014,36,23,19,39,26,38,15
2021,015,09,38,26,21,23,37,45
2021,016,18,07,36,05,23,15,37
2021,017,25,21,30,22,49,43,17
2021,018,23,15,09,37,01,44,28
2021,019,48,47,34,43,10,25,32
2021,020,46,37,18,02,35,28,38
2021,021,24,33,06,45,43,32,03
2021,022,32,38,18,05,15,06,37
2021,023,31,21,49,41,39,20,29
2021,024,47,12,08,43,31,27,11
2021,025,39,09,41,07,36,29,17
2021,026,26,22,11,43,39,48,08
2021,027,30,47,15,23,16,03,01
2021,028,38,47,39,04,36,22,28
2021,029,30,05,27,06,29,39,49
2021,030,09,27,29,08,17,38,15
2021,031,08,26,38,16,01,09,37
2021,032,35,30,34,49,37,06,03
2021,033,25,43,34,26,32,31,42
2021,034,41,16,14,05,44,02,21
2021,035,07,34,01,42,02,16,21
2021,036,01,42,04,06,43,16,14
2021,037,47,41,37,35,12,49,33
2021,038,12,45,46,25,03,22,06
2021,039,26,41,42,16,28,18,11
2021,040,34,44,21,36,03,13,27
2021,041,06,34,36,46,27,17,47
2021,042,27,02,34,25,48,20,31
2021,043,35,02,04,41,26,39,14
2021,044,21,09,31,48,19,32,42
2021,045,36,33,12,32,38,04,21
2021,046,24,05,15,11,41,03,48
2021,047,05,44,11,41,31,12,28
2021,048,12,46,23,37,47,06,24
2021,049,16,48,42,18,04,49,11
2021,050,30,06,02,36,11,15,33
2021,051,26,35,38,06,25,45,17
2021,052,19,08,42,49,35,32,31
2021,053,48,15,39,47,36,33,17
2021,054,35,21,19,28,46,47,39
2021,055,31,13,44,40,11,43,49
2021,056,25,21,19,49,04,22,08
2021,057,49,15,03,44,08,16,41
2021,058,33,39,35,28,10,44,31
2021,059,37,08,12,39,41,10,28
2021,060,07,25,04,33,39,05,32
2021,061,35,12,05,40,36,23,01
2021,062,18,36,25,45,44,19,40
2021,063,21,25,47,02,18,37,03
2021,064,12,32,31,33,48,28,30
2021,065,20,45,25,06,17,11,27
2021,066,07,42,31,36,47,19,16
2021,067,29,02,40,28,44,15,31
2021,068,27,43,44,49,40,39,10
2021,069,27,07,43,03,16,47,37
2021,070,01,20,30,40,03,04,27
2021,071,09,18,01,32,47,05,21
2021,072,14,10,42,09,07,31,03
2021,073,32,40,05,16,03,43,49
2021,074,42,25,14,29,18,16,23
2021,075,45,29,13,18,47,22,26
2021,076,29,47,07,40,15,02,09
2021,077,19,12,07,13,03,24,21
2021,078,16,34,12,47,02,01,08
2021,079,17,32,13,41,47,22,20
2021,080,12,13,14,30,43,46,02
2021,081,19,44,31,33,35,48,41
2021,082,48,15,16,04,33,44,39
2021,083,17,16,35,02,29,15,05
2021,084,08,28,26,30,15,09,16
2021,085,45,05,37,21,49,38,10
2021,086,08,21,41,48,15,36,10
2021,087,24,07,48,33,31,43,15
2021,088,37,06,09,30,20,19,18
2021,089,44,23,39,10,32,05,08
2021,090,25,23,21,41,35,44,49
2021,091,10,11,05,38,37,17,12
2021,092,14,02,42,43,38,40,20
2021,093,05,41,31,07,17,01,23
2021,094,02,03,11,39,01,10,23
2021,095,46,12,48,42,35,17,13
2021,096,03,02,45,20,35,48,24
2021,097,10,46,20,49,35,36,14
2021,098,27,03,04,36,15,14,49
2021,099,05,24,20,45,33,26,07
2021,100,36,04,34,02,35,12,05
2021,101,49,12,32,05,11,25,14
2021,102,42,11,36,15,17,29,16
2021,103,19,23,49,17,07,21,39
2021,104,38,07,15,36,19,02,46
2021,105,01,24,11,37,42,38,28
2021,106,32,03,04,06,22,11,08
2021,107,34,04,26,49,03,01,47
2021,108,25,36,28,23,43,06,34
2021,109,43,38,16,37,44,21,25
2021,110,35,26,27,11,06,48,14
2021,111,43,13,26,22,28,38,37
2021,112,18,47,04,38,45,42,23
2021,113,20,33,10,16,21,14,09
2021,114,30,40,16,14,48,47,45
2021,115,14,03,15,48,46,32,26
2021,116,49,36,14,03,20,47,22
2021,117,10,33,22,32,12,21,48
2021,118,44,40,39,46,01,32,27
2021,119,20,25,48,49,43,40,36
2021,120,24,12,13,40,27,10,35
2021,121,42,20,44,07,27,33,31
2021,122,26,32,41,22,35,44,01
2021,123,42,49,34,40,23,33,04
2021,124,37,27,03,04,13,02,45
2021,125,28,40,22,26,34,08,47
2021,126,04,37,40,07,28,35,23
2021,127,10,33,22,03,19,23,37
2021,128,49,35,31,11,43,07,42
2021,129,28,39,05,36,16,34,01
2021,130,30,49,22,10,09,47,38
2021,131,01,13,36,08,47,49,30
2021,132,08,14,15,30,01,13,07
2021,133,27,18,49,24,08,35,03
2021,134,49,33,38,34,43,46,48
2021,135,16,32,07,22,37,30,31
2021,136,46,41,28,13,49,20,38
2021,137,26,42,43,41,13,31,33
2021,138,32,48,01,07,08,39,49
2021,139,24,22,32,12,13,34,49
2021,140,10,12,29,42,48,04,32
2021,141,13,21,38,45,25,16,42
2021,142,24,01,42,29,18,30,31
2021,143,35,14,42,32,20,04,48
2021,144,07,41,23,16,25,06,28
2021,145,28,33,23,04,48,10,46
2021,146,08,13,43,21,33,30,02
2021,147,15,47,41,23,40,34,08
2021,148,16,29,40,34,10,43,35
2021,149,42,19,20,02,23,29,11
2021,150,12,04,10,44,31,19,39
2021,151,42,24,11,44,33,26,36
2021,152,37,48,35,08,39,30,09
2021,153,10,32,29,23,36,30,37
2021,154,26,42,25,29,01,14,22
2021,155,06,41,46,33,15,04,31
2021,156,30,19,34,38,15,24,39
2021,157,35,24,46,17,20,12,03
2021,158,28,27,44,08,26,40,45
2021,159,38,44,25,11,04,20,27
2021,160,08,34,29,27,41,18,07
2021,161,47,39,23,32,31,49,25
2021,162,33,27,39,34,49,02,36
2021,163,39,06,19,29,37,10,48
2021,164,46,42,41,10,23,47,02
2021,165,26,25,12,01,19,17,18
2021,166,47,14,17,02,35,16,28
2021,167,17,13,19,04,05,16,11
2021,168,09,45,28,13,03,47,14
2021,169,10,05,42,07,21,36,13
2021,170,05,27,25,11,24,21,45
2021,171,15,16,31,39,47,48,12
2021,172,32,02,31,21,26,48,09
2021,173,21,33,38,04,32,29,34
2021,174,05,17,21,26,36,19,41
2021,175,01,28,33,13,23,29,09
2021,176,26,01,46,44,27,37,06
2021,177,33,38,42,24,05,37,04
2021,178,32,27,45,02,48,03,30
2021,179,09,01,26,33,37,48,49
2021,180,21,04,03,16,07,32,10
2021,181,07,27,01,49,18,28,06
2021,182,37,27,38,49,13,44,47
2021,183,27,15,21,07,48,36,28
2021,184,30,27,07,35,25,17,26
2021,185,49,22,19,28,39,27,01
2021,186,26,06,19,45,34,14,20
2021,187,16,43,38,47,13,40,01
2021,188,03,32,42,27,11,13,18
2021,189,26,01,05,46,29,09,17
2021,190,07,28,09,32,16,45,02
2021,191,34,37,14,42,30,43,23
2021,192,09,13,40,22,33,49,03
2021,193,06,02,25,29,46,34,43
2021,194,47,11,29,30,02,03,14
2021,195,26,32,27,40,14,12,43
2021,196,32,47,34,17,39,27,42
2021,197,33,12,41,17,19,39,28
2021,198,28,27,16,13,48,45,07
2021,199,05,48,36,31,07,28,14
2021,200,41,08,15,22,35,19,11
2021,201,43,33,41,22,02,21,47
2021,202,34,15,09,17,11,48,33
2021,203,36,31,11,25,09,05,29
2021,204,33,18,04,12,36,38,19
2021,205,06,19,17,07,38,15,36
2021,206,43,41,33,42,05,13,21
2021,207,34,32,29,21,15,08,48
2021,208,47,06,21,19,33,38,22
2021,209,21,26,37,38,18,42,07
2021,210,44,34,11,32,42,03,14
2021,211,37,35,20,21,03,13,12
2021,212,19,16,32,38,17,26,49
2021,213,34,39,16,14,17,31,28
2021,214,18,04,46,14,36,41,05
2021,215,45,26,12,42,11,17,10
2021,216,15,17,28,42,04,32,37
2021,217,34,14,31,03,06,24,49
2021,218,15,09,40,47,44,24,39
2021,219,22,38,09,25,23,43,26
2021,220,49,16,28,20,29,15,05
2021,221,09,26,40,02,37,35,39
2021,222,18,46,21,09,35,30,04
2021,223,20,37,17,44,07,16,40
2021,224,17,45,38,42,26,06,20
2021,225,25,19,36,38,18,30,24
2021,226,16,22,39,06,36,34,17
2021,227,30,25,03,17,42,29,37
2021,228,14,05,32,02,33,25,04
2021,229,16,49,05,13,17,33,37
2021,230,48,17,22,14,21,29,15
2021,231,42,30,41,06,37,39,09
2021,232,08,15,11,46,10,13,47
2021,233,01,10,29,05,42,24,15
2021,234,23,25,42,40,09,03,05
2021,235,15,47,24,11,27,08,45
2021,236,41,34,43,47,35,20,13
2021,237,15,18,49,43,11,23,20
2021,238,20,03,02,41,23,42,22
2021,239,10,17,02,24,11,04,08
2021,240,10,29,22,43,23,31,26
2021,241,12,07,02,04,43,49,11
2021,242,23,26,11,42,06,49,38
2021,243,13,39,23,24,48,20,45
2021,244,15,30,37,47,33,16,28
2021,245,24,03,13,02,42,30,21
2021,246,09,40,48,34,24,22,19
2021,247,48,46,04,35,23,01,15
2021,248,07,16,02,26,40,04,24
2021,249,32,36,27,15,48,18,40
2021,250,38,39,44,25,12,37,14
2021,251,49,32,31,16,25,22,44
2021,252,08,48,28,15,11,43,31
2021,253,11,44,03,45,02,30,01
2021,254,04,28,25,36,11,19,43
2021,255,01,34,45,39,26,31,02
2021,256,01,20,36,48,21,41,19
2021,257,26,49,38,34,32,06,47
2021,258,30,49,37,43,22,41,05
2021,259,22,38,16,39,48,08,28
2021,260,29,11,45,47,22,48,16
2021,261,35,40,02,47,15,28,01
2021,262,37,02,43,28,39,36,33
2021,263,29,03,49,22,38,23,10
2021,264,19,37,27,46,05,20,08
2021,265,47,22,43,25,18,38,40
2021,266,18,45,02,40,07,49,05
2021,267,01,05,44,04,02,32,46
2021,268,31,36,20,09,37,33,22
2021,269,25,11,21,39,01,03,16
2021,270,48,44,21,18,19,25,12
2021,271,09,11,15,24,41,32,33
2021,272,40,47,09,21,41,35,46
2021,273,40,12,24,05,35,38,06
2021,274,05,06,38,48,41,20,44
2021,275,06,14,45,29,30,24,33
2021,276,48,45,17,30,36,27,02
2021,277,45,05,35,10,33,04,34
2021,278,02,30,48,13,49,24,19
2021,279,32,30,16,04,38,14,05
2021,280,02,28,12,40,29,15,48
2021,281,13,35,07,02,15,37,23
2021,282,36,25,39,40,22,12,46
2021,283,36,47,44,40,11,12,26
2021,284,34,06,01,02,47,27,14
2021,285,04,23,08,40,39,02,03
2021,286,14,18,16,28,23,06,09
2021,287,13,36,12,49,10,40,08
2021,288,19,45,22,40,30,47,15
2021,289,11,33,22,42,49,08,17
2021,290,28,44,21,03,36,20,39
2021,291,30,33,01,16,37,15,24
2021,292,34,26,29,17,14,01,37
2021,293,29,33,42,09,06,22,30
2021,294,34,25,48,37,32,06,41
2021,295,05,08,43,06,13,28,32
2021,296,10,44,16,45,14,08,37
2021,297,49,23,08,16,34,11,44
2021,298,45,18,42,44,08,25,40
2021,299,01,33,22,15,41,37,36
2021,300,25,48,35,26,43,05,36
2021,301,39,17,11,02,32,49,03
2021,302,21,42,05,30,14,28,25
2021,303,19,48,41,43,03,29,42
2021,304,33,01,48,36,11,13,34
2021,305,16,18,10,27,15,14,30
2021,306,05,18,38,10,35,31,11
2021,307,34,30,44,25,13,10,35
2021,308,30,42,35,49,03,29,05
2021,309,24,37,11,01,17,42,19
2021,310,23,36,07,46,14,39,47
2021,311,11,06,24,36,47,12,25
2021,312,10,15,25,17,28,01,06
2021,313,17,06,39,22,09,44,45
2021,314,19,01,39,44,35,03,41
2021,315,36,16,43,39,45,01,17
2021,316,47,11,08,31,44,06,42
2021,317,40,43,14,29,04,01,23
2021,318,30,49,20,24,09,48,37
2021,319,32,46,24,36,27,23,34
2021,320,46,37,05,10,30,21,39
2021,321,45,40,30,29,01,16,43
2021,322,42,34,08,25,22,07,39
2021,323,05,19,33,02,21,29,07
2021,324,28,30,38,16,29,34,22
2021,325,39,43,27,02,44,13,09
2021,326,01,29,40,27,17,06,38
2021,327,49,21,03,14,26,09,44
2021,328,14,27,21,31,48,47,30
2021,329,43,40,17,14,30,44,35
2021,330,05,34,22,01,09,04,06
2021,331,32,03,20,40,29,37,39
2021,332,07,30,41,20,44,31,03
2021,333,25,47,20,27,38,03,32
2021,334,21,20,24,43,06,08,37
2021,335,25,18,44,11,41,43,37
2021,336,39,19,42,27,10,13,02
2021,337,25,32,31,21,35,47,07
2021,338,07,19,01,15,37,34,18
2021,339,32,26,09,02,36,25,49
2021,340,24,44,49,12,40,41,25
2021,341,45,19,08,30,39,22,43
2021,342,01,41,15,49,10,02,46
2021,343,02,31,15,03,34,40,33
2021,344,45,11,43,02,03,49,01
2021,345,10,15,07,44,23,36,39
2021,346,08,13,02,01,20,06,11
2021,347,45,35,11,16,28,48,37
2021,348,40,31,29,37,02,16,08
2021,349,40,48,34,37,49,03,38
2021,350,13,16,09,24,08,14,48
2021,351,19,30,49,39,27,46,45
2021,352,28,23,38,02,35,19,25
2021,353,47,39,08,14,07,16,18
2021,354,18,43,23,15,25,48,14
2021,355,24,36,26,13,40,11,43
2021,356,47,03,27,28,38,43,44
2021,357,08,36,26,38,45,30,46
2021,358,43,49,25,35,19,07,17
2021,359,08,18,41,03,19,05,22
2021,360,16,47,38,23,15,42,32
2021,361,46,10,06,44,49,19,20
2021,362,26,22,02,38,27,11,45
2021,363,08,29,24,06,02,12,20
2021,364,22,33,09,32,17,06,16
2021,365,45,17,23,47,22,03,39
2022,001,49,26,05,28,07,02,22
2022,002,25,22,43,34,37,41,21
2022,003,40,17,05,29,18,03,47
2022,004,03,22,39,31,20,09,10
2022,005,44,45,15,11,46,23,10
2022,006,12,39,23,01,29,44,17
2022,007,38,49,26,13,33,46,39
2022,008,04,43,44,31,33,11,49
2022,009,31,49,47,07,06,28,35
2022,010,26,06,03,04,42,40,48
2022,011,13,07,36,08,26,25,38
2022,012,47,32,04,02,22,27,38
2022,013,29,04,48,33,31,13,32
2022,014,25,44,32,08,36,46,33
2022,015,45,01,12,22,23,17,20
2022,016,12,46,09,36,49,27,06
2022,017,23,46,30,34,37,22,24
2022,018,49,42,23,05,08,20,39
2022,019,49,04,07,29,27,17,09
2022,020,49,21,29,48,10,43,19
2022,021,05,48,26,25,02,16,03
2022,022,27,15,33,48,19,01,14
2022,023,12,23,39,47,49,04,19
2022,024,27,38,28,20,35,17,12
2022,025,18,20,12,19,43,26,33
2022,026,23,01,13,41,38,43,04
2022,027,21,24,20,22,31,39,19
2022,028,42,48,22,06,45,39,46
2022,029,21,17,19,43,32,20,49
2022,030,36,30,39,17,22,19,01
2022,031,35,22,09,44,06,13,41
2022,032,32,37,26,27,34,28,16
2022,033,47,13,28,32,07,14,26
2022,034,02,28,44,13,18,33,12
2022,035,08,47,24,32,36,33,49
2022,036,34,32,27,30,08,02,42
2022,037,22,27,45,03,26,30,32
2022,038,33,36,19,48,08,49,21
2022,039,01,11,12,14,46,23,03
2022,040,33,13,16,14,44,31,21
2022,041,12,42,43,36,26,03,08
2022,042,36,03,10,49,16,39,35
2022,043,46,27,12,08,04,42,39
2022,044,23,05,15,01,17,14,11
2022,045,05,36,28,20,14,42,21
2022,046,11,44,47,26,15,41,43
2022,047,35,37,26,06,38,10,19
2022,048,21,44,01,08,15,02,39
2022,049,26,03,22,17,04,45,25
2022,050,10,14,31,33,13,47,42
2022,051,14,10,04,02,43,35,13
2022,052,16,14,19,05,24,34,10
2022,053,21,07,46,23,37,19,27
2022,054,11,23,05,30,25,43,02
2022,055,37,06,20,11,15,12,40
2022,056,39,11,04,06,35,12,27
2022,057,39,03,32,28,48,16,29
2022,058,05,30,47,24,36,34,16
2022,059,47,07,06,14,13,11,28
2022,060,07,16,29,43,26,05,08
2022,061,17,43,32,39,27,11,24
2022,062,05,21,14,17,39,26,08
2022,063,36,17,19,27,03,38,07
2022,064,48,09,36,31,19,46,40
2022,065,06,38,44,09,28,19,02
2022,066,24,11,01,04,08,18,06
2022,067,17,29,15,27,09,11,12
2022,068,14,09,05,46,22,28,08
2022,069,39,04,45,23,18,19,11
2022,070,08,43,48,46,23,19,22
2022,071,06,18,19,44,49,17,30
2022,072,11,48,47,49,05,23,42
2022,073,30,33,09,02,43,15,19
2022,074,16,45,29,31,49,30,02
2022,075,18,05,14,33,31,29,32
2022,076,36,28,12,46,09,11,23
2022,077,02,22,17,29,04,45,31
2022,078,12,28,01,16,39,27,46
2022,079,45,18,17,24,49,16,28
2022,080,37,20,48,06,46,28,22
2022,081,04,43,31,48,38,15,26
2022,082,21,28,46,13,05,43,45
2022,083,49,08,07,01,45,17,04
2022,084,14,04,10,18,41,38,06
2022,085,24,20,49,42,02,48,13
2022,086,07,02,32,23,26,11,34
2022,087,10,16,49,40,33,03,19
2022,088,39,31,41,28,37,34,05
2022,089,07,48,41,43,04,22,11
2022,090,41,32,09,16,42,22,06
2022,091,41,07,48,15,11,09,49
2022,092,41,12,23,37,46,03,35
2022,093,06,21,01,46,25,39,31
2022,094,49,17,12,07,33,05,08
2022,095,27,05,02,43,47,06,07
2022,096,18,25,10,35,06,26,09
2022,097,08,30,12,25,04,35,24
2022,098,46,24,28,34,29,10,49
2022,099,22,07,29,39,08,24,40
2022,100,48,44,38,10,14,46,36
2022,101,49,09,38,20,30,44,05
2022,102,49,10,29,48,44,34,08
2022,103,11,45,44,43,30,42,22
2022,104,39,22,25,01,07,46,36
2022,105,14,34,07,03,49,37,22
2022,106,18,49,30,01,42,39,34
2022,107,26,29,22,36,45,10,14
2022,108,33,23,46,25,28,26,40
2022,109,47,48,16,22,36,32,43
2022,110,34,37,27,31,14,04,16
2022,111,39,48,37,41,08,21,10
2022,112,24,22,05,31,10,08,21
2022,113,32,27,25,49,26,04,09
2022,114,44,11,16,14,10,04,27
2022,115,42,21,39,36,27,33,11
2022,116,40,05,36,32,39,22,46
2022,117,03,14,22,38,27,10,16
2022,118,33,03,15,32,43,06,34
2022,119,26,05,16,45,24,04,32
2022,120,49,47,25,15,03,45,32
2022,121,21,05,43,22,46,38,36
2022,122,32,45,43,15,04,18,16
2022,123,16,20,37,10,03,02,17
2022,124,29,26,33,40,38,07,46
2022,125,07,05,15,02,44,27,48
2022,126,25,14,07,12,03,32,45
2022,127,34,01,12,16,36,27,42
2022,128,35,07,26,06,39,11,12
2022,129,24,14,06,25,34,17,48
2022,130,04,27,30,09,17,11,47
2022,131,28,01,03,42,34,17,45
2022,132,15,44,27,33,07,18,19
2022,133,32,38,36,47,15,41,27
2022,134,49,28,29,11,01,36,40
2022,135,43,12,40,10,24,18,03
2022,136,43,28,20,30,23,13,17
2022,137,32,07,45,04,18,39,48
2022,138,10,14,21,43,31,08,22
2022,139,45,29,11,09,48,40,21
2022,140,07,24,26,44,08,43,19
2022,141,12,11,22,25,28,23,27
2022,142,31,48,02,13,03,14,06
2022,143,36,33,17,09,16,11,02
2022,144,48,12,30,04,05,33,28
2022,145,26,45,33,24,49,05,06
2022,146,16,47,07,38,14,31,17
2022,147,17,21,44,08,22,09,42
2022,148,45,12,08,22,31,17,04
2022,149,40,01,18,43,17,34,47
2022,150,22,31,19,08,12,15,41
2022,151,16,04,08,21,37,18,05
2022,152,41,06,05,30,25,33,14
2022,153,30,06,48,32,28,02,49
2022,154,39,21,04,37,05,27,30
2022,155,28,02,16,46,03,48,18
2022,156,27,41,40,33,11,29,12
2022,157,49,08,14,39,40,05,16
2022,158,39,42,08,04,25,17,35
2022,159,19,42,36,31,44,16,26
2022,160,20,30,33,26,07,19,14
2022,161,23,01,36,15,30,42,02
2022,162,03,05,42,49,24,33,39
2022,163,37,03,31,49,10,26,45
2022,164,25,31,02,36,21,15,49
2022,165,48,04,49,02,09,11,40
2022,166,22,15,01,14,07,17,04
2022,167,46,03,14,27,33,42,47
2022,168,41,43,42,25,06,15,08
2022,169,13,09,41,31,20,47,19
2022,170,07,43,23,12,32,37,49
2022,171,09,42,20,30,27,16,49
2022,172,45,09,29,21,48,18,34
2022,173,36,43,30,40,38,22,01
2022,174,33,37,47,13,15,02,42
2022,175,13,31,04,47,32,06,20
2022,176,03,47,08,40,15,49,31
2022,177,22,36,10,29,37,32,20
2022,178,35,22,04,29,30,48,41
2022,179,15,20,35,03,26,12,40
2022,180,05,16,38,24,12,18,44
2022,181,39,02,21,23,31,26,16
2022,182,06,43,02,12,10,40,48
2022,183,14,47,08,45,40,36,26
2022,184,34,06,44,17,21,30,08
2022,185,49,47,31,16,35,12,04
2022,186,01,43,12,34,17,32,31
2022,187,34,09,41,35,12,48,44
2022,188,12,04,09,28,32,03,19
2022,189,40,41,29,38,07,09,35
2022,190,26,15,32,34,12,24,25
2022,191,22,05,03,27,34,08,25
2022,192,01,12,34,13,16,38,08
2022,193,36,40,19,26,03,37,04
2022,194,26,45,29,21,48,13,02
2022,195,13,39,28,07,11,31,03
2022,196,08,37,39,44,33,21,13
2022,197,32,36,42,20,46,29,35
2022,198,01,09,14,34,07,17,29
2022,199,42,37,38,08,29,33,13
2022,200,26,31,19,03,07,28,39
2022,201,23,40,13,37,42,48,19
2022,202,26,16,46,43,36,20,44
2022,203,32,29,12,07,31,33,08
2022,204,05,19,36,34,01,33,11
2022,205,35,19,40,05,46,03,44
2022,206,46,01,18,10,43,17,12
2022,207,30,23,40,14,03,01,19
2022,208,17,36,45,39,47,25,30
2022,209,14,06,21,20,01,12,48
2022,210,26,13,07,01,24,35,18
2022,211,28,26,36,43,30,04,44
2022,212,36,13,11,15,49,20,39
2022,213,05,12,07,01,08,19,42
